Inside the function :  30
Outside the function :  30
[('max_depth', 6), ('booster', 'gblinear'), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:36.8745      eval-rmse:49.2449
[09:10:42] 1080x898 matrix with 136418 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_train.txt
[09:10:42] 336x898 matrix with 42950 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg2_test.txt
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[132]   train-rmse:21.8689      eval-rmse:28.9897
[133]   train-rmse:21.8635      eval-rmse:28.9926
[134]   train-rmse:21.8577      eval-rmse:29.0011
[135]   train-rmse:21.8521      eval-rmse:29.009
[136]   train-rmse:21.8469      eval-rmse:29.0093
[137]   train-rmse:21.8417      eval-rmse:29.0114
[138]   train-rmse:21.8365      eval-rmse:29.002
[139]   train-rmse:21.8315      eval-rmse:28.9985
[140]   train-rmse:21.8262      eval-rmse:28.9968
[141]   train-rmse:21.8208      eval-rmse:29.0014
[142]   train-rmse:21.8154      eval-rmse:29.01
[143]   train-rmse:21.8101      eval-rmse:29.0165
[144]   train-rmse:21.8049      eval-rmse:29.0199
[145]   train-rmse:21.8001      eval-rmse:29.0183
[146]   train-rmse:21.7948      eval-rmse:29.0269
[147]   train-rmse:21.7898      eval-rmse:29.024
[148]   train-rmse:21.7847      eval-rmse:29.0224
[149]   train-rmse:21.7796      eval-rmse:29.0313
[150]   train-rmse:21.7748      eval-rmse:29.0371
[151]   train-rmse:21.7701      eval-rmse:29.0417
[152]   train-rmse:21.7654      eval-rmse:29.0419
[153]   train-rmse:21.7606      eval-rmse:29.0387
[154]   train-rmse:21.7556      eval-rmse:29.0504
[155]   train-rmse:21.7508      eval-rmse:29.0566
[156]   train-rmse:21.7459      eval-rmse:29.0656
[157]   train-rmse:21.7415      eval-rmse:29.065
[158]   train-rmse:21.737       eval-rmse:29.0641
[159]   train-rmse:21.7325      eval-rmse:29.0594
[160]   train-rmse:21.7276      eval-rmse:29.0592
[161]   train-rmse:21.723       eval-rmse:29.0647
[162]   train-rmse:21.7186      eval-rmse:29.0647
[163]   train-rmse:21.7142      eval-rmse:29.0653
[164]   train-rmse:21.7095      eval-rmse:29.0763
[165]   train-rmse:21.7051      eval-rmse:29.0714
[166]   train-rmse:21.7004      eval-rmse:29.0781
[167]   train-rmse:21.6959      eval-rmse:29.0858
[168]   train-rmse:21.6913      eval-rmse:29.0931
[169]   train-rmse:21.6871      eval-rmse:29.0963
[170]   train-rmse:21.6826      eval-rmse:29.1045
[171]   train-rmse:21.6781      eval-rmse:29.1089
[172]   train-rmse:21.6737      eval-rmse:29.1113
[173]   train-rmse:21.6695      eval-rmse:29.1107
[174]   train-rmse:21.6655      eval-rmse:29.1122
[175]   train-rmse:21.6614      eval-rmse:29.1122
[176]   train-rmse:21.6573      eval-rmse:29.1141
[177]   train-rmse:21.653       eval-rmse:29.1244
[178]   train-rmse:21.6487      eval-rmse:29.1309
[179]   train-rmse:21.6444      eval-rmse:29.1286
[180]   train-rmse:21.6403      eval-rmse:29.1346
[181]   train-rmse:21.6361      eval-rmse:29.1433
[182]   train-rmse:21.6319      eval-rmse:29.1529
[183]   train-rmse:21.6278      eval-rmse:29.1606
[184]   train-rmse:21.6237      eval-rmse:29.1696
[185]   train-rmse:21.6197      eval-rmse:29.1772
[186]   train-rmse:21.6157      eval-rmse:29.1832
[187]   train-rmse:21.6119      eval-rmse:29.1825
[188]   train-rmse:21.608       eval-rmse:29.1757
[189]   train-rmse:21.6041      eval-rmse:29.1816
[190]   train-rmse:21.6003      eval-rmse:29.1749
[191]   train-rmse:21.5963      eval-rmse:29.1778
[192]   train-rmse:21.5925      eval-rmse:29.1777
[193]   train-rmse:21.5888      eval-rmse:29.1778
[194]   train-rmse:21.5848      eval-rmse:29.1757
[195]   train-rmse:21.5808      eval-rmse:29.1761
[196]   train-rmse:21.5771      eval-rmse:29.173
[197]   train-rmse:21.5732      eval-rmse:29.175
[198]   train-rmse:21.5695      eval-rmse:29.1758
[199]   train-rmse:21.5658      eval-rmse:29.1725
[200]   train-rmse:21.562       eval-rmse:29.1753
[201]   train-rmse:21.5583      eval-rmse:29.1745
[202]   train-rmse:21.5547      eval-rmse:29.174
[203]   train-rmse:21.5509      eval-rmse:29.1778
[204]   train-rmse:21.5472      eval-rmse:29.181
[205]   train-rmse:21.5438      eval-rmse:29.1769
Stopping. Best iteration:
[105]   train-rmse:22.0429      eval-rmse:28.8986

             precision    recall  f1-score   support

          0       0.91      0.80      0.85       157
          1       0.22      0.22      0.22        45
          2       0.35      0.48      0.40        58
          3       0.75      0.71      0.73        76

avg / total       0.69      0.65      0.66       336

