[09:38:20] 1080x898 matrix with 153075 entries loaded from E:/krzys/informatyka-studia/sem-16-2017L/msi2/proj/SmogDetector/SmogDetector.Python/data/data_reg3_train.txt
[('max_depth', 1), ('eta', 0.1), ('silent', 1), ('gamma', 1.0), ('objective', 'reg:linear'), ('eval_metric', 'rmse')]
[0]     train-rmse:66.8599      eval-rmse:65.7149
Multiple eval metrics have been passed: 'eval-rmse' will be used for early stopping.

Will train until eval-rmse hasn't improved in 100 rounds.
[320]   train-rmse:16.6613      eval-rmse:24.1479
[321]   train-rmse:16.6528      eval-rmse:24.1265
[322]   train-rmse:16.6449      eval-rmse:24.1889
[323]   train-rmse:16.637       eval-rmse:24.2565
[324]   train-rmse:16.629       eval-rmse:24.2668
[325]   train-rmse:16.621       eval-rmse:24.2489
[326]   train-rmse:16.6133      eval-rmse:24.2482
[327]   train-rmse:16.6053      eval-rmse:24.2246
[328]   train-rmse:16.5975      eval-rmse:24.207
[329]   train-rmse:16.5895      eval-rmse:24.1988
[330]   train-rmse:16.5817      eval-rmse:24.1991
[331]   train-rmse:16.5735      eval-rmse:24.1886
[332]   train-rmse:16.5657      eval-rmse:24.1847
[333]   train-rmse:16.558       eval-rmse:24.2239
[334]   train-rmse:16.5504      eval-rmse:24.1941
[335]   train-rmse:16.5425      eval-rmse:24.2108
[336]   train-rmse:16.5349      eval-rmse:24.1867
[337]   train-rmse:16.5273      eval-rmse:24.1684
[338]   train-rmse:16.5198      eval-rmse:24.1615
[339]   train-rmse:16.5121      eval-rmse:24.1426
[340]   train-rmse:16.5046      eval-rmse:24.1428
[341]   train-rmse:16.4971      eval-rmse:24.1231
[342]   train-rmse:16.4897      eval-rmse:24.1227
[343]   train-rmse:16.4823      eval-rmse:24.1106
[344]   train-rmse:16.4746      eval-rmse:24.0935
[345]   train-rmse:16.4672      eval-rmse:24.0737
[346]   train-rmse:16.4597      eval-rmse:24.0804
[347]   train-rmse:16.4523      eval-rmse:24.0888
[348]   train-rmse:16.4448      eval-rmse:24.0724
[349]   train-rmse:16.4373      eval-rmse:24.0699
[350]   train-rmse:16.43        eval-rmse:24.0583
[351]   train-rmse:16.4227      eval-rmse:24.0581
[352]   train-rmse:16.4155      eval-rmse:24.0735
[353]   train-rmse:16.4084      eval-rmse:24.0812
[354]   train-rmse:16.4012      eval-rmse:24.0505
[355]   train-rmse:16.3942      eval-rmse:24.0502
[356]   train-rmse:16.3873      eval-rmse:24.0832
[357]   train-rmse:16.3802      eval-rmse:24.067
[358]   train-rmse:16.3727      eval-rmse:24.0549
[359]   train-rmse:16.3657      eval-rmse:24.0371
[360]   train-rmse:16.3587      eval-rmse:24.046
[361]   train-rmse:16.3518      eval-rmse:24.0278
[362]   train-rmse:16.3443      eval-rmse:24.0363
[363]   train-rmse:16.3374      eval-rmse:24.0382
[364]   train-rmse:16.3303      eval-rmse:24.0382
[365]   train-rmse:16.3235      eval-rmse:24.0289
[366]   train-rmse:16.3162      eval-rmse:24.0292
[367]   train-rmse:16.3094      eval-rmse:24.0267
[368]   train-rmse:16.3025      eval-rmse:24.0103
[369]   train-rmse:16.2955      eval-rmse:24.0098
[370]   train-rmse:16.2887      eval-rmse:24.0101
[371]   train-rmse:16.2818      eval-rmse:23.9925
[372]   train-rmse:16.2749      eval-rmse:23.9813
[373]   train-rmse:16.268       eval-rmse:23.9902
[374]   train-rmse:16.2613      eval-rmse:23.9831
[375]   train-rmse:16.2542      eval-rmse:23.9548
[376]   train-rmse:16.2475      eval-rmse:23.9492
[377]   train-rmse:16.2409      eval-rmse:23.9487
[378]   train-rmse:16.2343      eval-rmse:23.9312
[379]   train-rmse:16.2277      eval-rmse:23.9296
[380]   train-rmse:16.221       eval-rmse:23.9142
[381]   train-rmse:16.2142      eval-rmse:23.9034
[382]   train-rmse:16.2076      eval-rmse:23.8853
[383]   train-rmse:16.201       eval-rmse:23.917
[384]   train-rmse:16.1944      eval-rmse:23.8902
[385]   train-rmse:16.1879      eval-rmse:23.8793
[386]   train-rmse:16.1812      eval-rmse:23.886
[387]   train-rmse:16.1748      eval-rmse:23.9213
[388]   train-rmse:16.1683      eval-rmse:23.9211
[389]   train-rmse:16.1619      eval-rmse:23.9121
[390]   train-rmse:16.1555      eval-rmse:23.9501
[391]   train-rmse:16.1491      eval-rmse:23.9506
[392]   train-rmse:16.1428      eval-rmse:23.9607
[393]   train-rmse:16.1361      eval-rmse:23.9439
[394]   train-rmse:16.1296      eval-rmse:23.923
[395]   train-rmse:16.1232      eval-rmse:23.8948
[396]   train-rmse:16.1168      eval-rmse:23.8951
[397]   train-rmse:16.1105      eval-rmse:23.8947
[398]   train-rmse:16.1043      eval-rmse:23.8766
[399]   train-rmse:16.098       eval-rmse:23.9437
[400]   train-rmse:16.0918      eval-rmse:23.9297
[401]   train-rmse:16.0854      eval-rmse:23.9386
[402]   train-rmse:16.0793      eval-rmse:23.9476
[403]   train-rmse:16.0731      eval-rmse:23.9184
